date,Country,State,Lat,Lon
1/25/20,Albania,,41.1533,20.1683,0
1/26/20,Albania,,41.1533,20.1683,0
1/27/20,Albania,,41.1533,20.1683,0
1/28/20,Albania,,41.1533,20.1683,0
1/29/20,Albania,,41.1533,20.1683,0
1/30/20,Albania,,41.1533,20.1683,0
1/31/20,Albania,,41.1533,20.1683,0
2/1/20,Albania,,41.1533,20.1683,0
2/2/20,Albania,,41.1533,20.1683,0
2/3/20,Albania,,41.1533,20.1683,0
2/4/20,Albania,,41.1533,20.1683,0
2/5/20,Albania,,41.1533,20.1683,0
2/6/20,Albania,,41.1533,20.1683,0
2/7/20,Albania,,41.1533,20.1683,0
2/8/20,Albania,,41.1533,20.1683,0
2/9/20,Albania,,41.1533,20.1683,0
2/10/20,Albania,,41.1533,20.1683,0
2/11/20,Albania,,41.1533,20.1683,0
2/12/20,Albania,,41.1533,20.1683,0
2/13/20,Albania,,41.1533,20.1683,0
2/14/20,Albania,,41.1533,20.1683,0
2/15/20,Albania,,41.1533,20.1683,0
2/16/20,Albania,,41.1533,20.1683,0
2/17/20,Albania,,41.1533,20.1683,0
2/18/20,Albania,,41.1533,20.1683,0
2/19/20,Albania,,41.1533,20.1683,0
2/20/20,Albania,,41.1533,20.1683,0
2/21/20,Albania,,41.1533,20.1683,0
2/22/20,Albania,,41.1533,20.1683,0
2/23/20,Albania,,41.1533,20.1683,0
2/24/20,Albania,,41.1533,20.1683,0
2/25/20,Albania,,41.1533,20.1683,0
2/26/20,Albania,,41.1533,20.1683,0
2/27/20,Albania,,41.1533,20.1683,0
2/28/20,Albania,,41.1533,20.1683,0
2/29/20,Albania,,41.1533,20.1683,0
3/1/20,Albania,,41.1533,20.1683,0
3/2/20,Albania,,41.1533,20.1683,0
3/3/20,Albania,,41.1533,20.1683,0
3/4/20,Albania,,41.1533,20.1683,0
3/5/20,Albania,,41.1533,20.1683,0
3/6/20,Albania,,41.1533,20.1683,0
3/7/20,Albania,,41.1533,20.1683,0
3/8/20,Albania,,41.1533,20.1683,0
3/9/20,Albania,,41.1533,20.1683,2
3/10/20,Albania,,41.1533,20.1683,10
3/11/20,Albania,,41.1533,20.1683,12
3/12/20,Albania,,41.1533,20.1683,23
3/13/20,Albania,,41.1533,20.1683,33
3/14/20,Albania,,41.1533,20.1683,38
3/15/20,Albania,,41.1533,20.1683,42
3/16/20,Albania,,41.1533,20.1683,51
3/17/20,Albania,,41.1533,20.1683,55
3/18/20,Albania,,41.1533,20.1683,59
3/19/20,Albania,,41.1533,20.1683,64
3/20/20,Albania,,41.1533,20.1683,70
3/21/20,Albania,,41.1533,20.1683,76
3/22/20,Albania,,41.1533,20.1683,89
3/23/20,Albania,,41.1533,20.1683,104
3/24/20,Albania,,41.1533,20.1683,123
3/25/20,Albania,,41.1533,20.1683,146
3/26/20,Albania,,41.1533,20.1683,174
3/27/20,Albania,,41.1533,20.1683,186
3/28/20,Albania,,41.1533,20.1683,197
3/29/20,Albania,,41.1533,20.1683,212
3/30/20,Albania,,41.1533,20.1683,223
3/31/20,Albania,,41.1533,20.1683,243
4/1/20,Albania,,41.1533,20.1683,259
4/2/20,Albania,,41.1533,20.1683,277
4/3/20,Albania,,41.1533,20.1683,304
4/4/20,Albania,,41.1533,20.1683,333
4/5/20,Albania,,41.1533,20.1683,361
4/6/20,Albania,,41.1533,20.1683,377
4/7/20,Albania,,41.1533,20.1683,383
4/8/20,Albania,,41.1533,20.1683,400
4/9/20,Albania,,41.1533,20.1683,409
4/10/20,Albania,,41.1533,20.1683,416
4/11/20,Albania,,41.1533,20.1683,433
4/12/20,Albania,,41.1533,20.1683,446
4/13/20,Albania,,41.1533,20.1683,467
4/14/20,Albania,,41.1533,20.1683,475
4/15/20,Albania,,41.1533,20.1683,494
4/16/20,Albania,,41.1533,20.1683,518
4/17/20,Albania,,41.1533,20.1683,539
4/18/20,Albania,,41.1533,20.1683,548
4/19/20,Albania,,41.1533,20.1683,562
4/20/20,Albania,,41.1533,20.1683,584
4/21/20,Albania,,41.1533,20.1683,609
4/22/20,Albania,,41.1533,20.1683,634
4/23/20,Albania,,41.1533,20.1683,663
4/24/20,Albania,,41.1533,20.1683,678
4/25/20,Albania,,41.1533,20.1683,712
4/26/20,Albania,,41.1533,20.1683,726
4/27/20,Albania,,41.1533,20.1683,736
4/28/20,Albania,,41.1533,20.1683,750
4/29/20,Albania,,41.1533,20.1683,766
4/30/20,Albania,,41.1533,20.1683,773
5/1/20,Albania,,41.1533,20.1683,782
5/2/20,Albania,,41.1533,20.1683,789
5/3/20,Albania,,41.1533,20.1683,795
5/4/20,Albania,,41.1533,20.1683,803
5/5/20,Albania,,41.1533,20.1683,820
5/6/20,Albania,,41.1533,20.1683,832
5/7/20,Albania,,41.1533,20.1683,842
5/8/20,Albania,,41.1533,20.1683,850
5/9/20,Albania,,41.1533,20.1683,856
5/10/20,Albania,,41.1533,20.1683,868
5/11/20,Albania,,41.1533,20.1683,872
5/12/20,Albania,,41.1533,20.1683,876
5/13/20,Albania,,41.1533,20.1683,880
5/14/20,Albania,,41.1533,20.1683,898
5/15/20,Albania,,41.1533,20.1683,916
5/16/20,Albania,,41.1533,20.1683,933
5/17/20,Albania,,41.1533,20.1683,946
5/18/20,Albania,,41.1533,20.1683,948
5/19/20,Albania,,41.1533,20.1683,949
5/20/20,Albania,,41.1533,20.1683,964
5/21/20,Albania,,41.1533,20.1683,969
5/22/20,Albania,,41.1533,20.1683,981
5/23/20,Albania,,41.1533,20.1683,989
5/24/20,Albania,,41.1533,20.1683,998
5/25/20,Albania,,41.1533,20.1683,1004
5/26/20,Albania,,41.1533,20.1683,1029
5/27/20,Albania,,41.1533,20.1683,1050
5/28/20,Albania,,41.1533,20.1683,1076
5/29/20,Albania,,41.1533,20.1683,1099
5/30/20,Albania,,41.1533,20.1683,1122
5/31/20,Albania,,41.1533,20.1683,1137
6/1/20,Albania,,41.1533,20.1683,1143
6/2/20,Albania,,41.1533,20.1683,1164
6/3/20,Albania,,41.1533,20.1683,1184
6/4/20,Albania,,41.1533,20.1683,1197
6/5/20,Albania,,41.1533,20.1683,1212
6/6/20,Albania,,41.1533,20.1683,1232
6/7/20,Albania,,41.1533,20.1683,1246
6/8/20,Albania,,41.1533,20.1683,1263
6/9/20,Albania,,41.1533,20.1683,1299
6/10/20,Albania,,41.1533,20.1683,1341
6/11/20,Albania,,41.1533,20.1683,1385
6/12/20,Albania,,41.1533,20.1683,1416
6/13/20,Albania,,41.1533,20.1683,1464
6/14/20,Albania,,41.1533,20.1683,1521
6/15/20,Albania,,41.1533,20.1683,1590
6/16/20,Albania,,41.1533,20.1683,1672
6/17/20,Albania,,41.1533,20.1683,1722
6/18/20,Albania,,41.1533,20.1683,1788
6/19/20,Albania,,41.1533,20.1683,1838
6/20/20,Albania,,41.1533,20.1683,1891
6/21/20,Albania,,41.1533,20.1683,1962
6/22/20,Albania,,41.1533,20.1683,1995
6/23/20,Albania,,41.1533,20.1683,2047
6/24/20,Albania,,41.1533,20.1683,2114
6/25/20,Albania,,41.1533,20.1683,2192
6/26/20,Albania,,41.1533,20.1683,2269
6/27/20,Albania,,41.1533,20.1683,2330
6/28/20,Albania,,41.1533,20.1683,2402
6/29/20,Albania,,41.1533,20.1683,2466
6/30/20,Albania,,41.1533,20.1683,2535
